ZIP,county_fips,county_name,ranking_ratio
44060,085,Lake,0.1006423982869379
44061,085,Lake,1.0
44062,055,Geauga,0.414609872611465
44064,055,Geauga,0.9594240837696335
44065,055,Geauga,1.0
44067,153,Summit,0.3050933959375319
44068,007,Ashtabula,1.0
44070,035,Cuyahoga,0.1607062887851065
44072,055,Geauga,0.8815
44073,055,Geauga,0.0
44074,093,Lorain,0.4327597195666029
44076,007,Ashtabula,0.6767676767676768
44077,085,Lake,0.11033172585123484
44080,055,Geauga,1.0
44081,085,Lake,0.5279091769157994
44082,007,Ashtabula,0.8932748538011696
44084,007,Ashtabula,0.9156184486373166
44085,007,Ashtabula,0.5532051282051282
44086,055,Geauga,0.8054545454545454
44087,153,Summit,0.33012540099154275
44088,007,Ashtabula,0.0
44089,043,Erie,0.36059342815105444
44090,093,Lorain,0.58348586536506
44092,085,Lake,0.3023681377825619
44093,007,Ashtabula,0.9911111111111112
44094,085,Lake,0.160906338101702
44095,085,Lake,0.17818436822644396
44096,085,Lake,1.0
44099,007,Ashtabula,0.8491761723700887
44101,035,Cuyahoga,1.0
44102,035,Cuyahoga,0.12236954662104363
44103,035,Cuyahoga,0.12583507827300827
44104,035,Cuyahoga,0.17647058823529413
44105,035,Cuyahoga,0.09840353075791423
44106,035,Cuyahoga,0.1348215855159079
44107,035,Cuyahoga,0.09417246357789737
44108,035,Cuyahoga,0.13713157317340743
44109,035,Cuyahoga,0.11749254937616811
44110,035,Cuyahoga,0.19103503044207182
44111,035,Cuyahoga,0.11821628092577813
44112,035,Cuyahoga,0.12470108313405542
44113,035,Cuyahoga,0.22650984538126073
44114,035,Cuyahoga,0.48024434624382634
44115,035,Cuyahoga,0.5328058028354764
44116,035,Cuyahoga,0.3122797744890768
44117,035,Cuyahoga,0.44068337857256906
44118,035,Cuyahoga,0.10986795685918758
44119,035,Cuyahoga,0.43898431665421955
44120,035,Cuyahoga,0.1277889579140782
44121,035,Cuyahoga,0.13802905874921037
44122,035,Cuyahoga,0.16073666430556313
44123,035,Cuyahoga,0.28040611262298515
44124,035,Cuyahoga,0.17659044600407517
44125,035,Cuyahoga,0.16038016038016037
44126,035,Cuyahoga,0.2563231850117096
44127,035,Cuyahoga,0.45532435740514077
44128,035,Cuyahoga,0.1290959336754836
44129,035,Cuyahoga,0.14833948339483394
44130,035,Cuyahoga,0.0956736809045226
44131,035,Cuyahoga,0.25261324041811845
44132,035,Cuyahoga,0.24756242568370987
44133,035,Cuyahoga,0.23467632968922736
44134,035,Cuyahoga,0.12597817700870714
44135,035,Cuyahoga,0.15542384777353194
44136,035,Cuyahoga,0.22083768791703512
44137,035,Cuyahoga,0.20156416637042304
44138,035,Cuyahoga,0.25461764198170206
44139,035,Cuyahoga,0.2775342220631654
44140,035,Cuyahoga,0.2764792899408284
44141,035,Cuyahoga,0.3945610687022901
44142,035,Cuyahoga,0.23110571081409478
44143,035,Cuyahoga,0.24943197955126384
44144,035,Cuyahoga,0.21086476629235051
44145,035,Cuyahoga,0.2201883460859329
44146,035,Cuyahoga,0.154097815237884
44147,035,Cuyahoga,0.3223691399847011
44149,035,Cuyahoga,0.2696916812100058
44181,035,Cuyahoga,1.0
44195,035,Cuyahoga,0.0
44199,035,Cuyahoga,0.0
44201,133,Portage,0.4585895117540687
44202,133,Portage,0.3492093023255814
44203,153,Summit,0.13500451431302776
44210,153,Summit,1.0
44211,133,Portage,0.0
44212,103,Medina,0.15872384833275358
44214,169,Wayne,0.7315436241610739
44215,103,Medina,0.7092320966350302
44216,153,Summit,0.3795379537953795
44217,169,Wayne,0.7342696629213483
44221,153,Summit,0.15063508864779043
44222,153,Summit,1.0
44223,153,Summit,0.40389942467504797
44224,153,Summit,0.13584866438000207
44230,169,Wayne,0.5311638168781025
44231,133,Portage,0.6501588983050848
44232,153,Summit,1.0
44233,103,Medina,0.9883689477955099
44234,133,Portage,0.6472114137483788
44235,103,Medina,0.8625827814569537
44236,153,Summit,0.3342663656884876
44237,153,Summit,0.0
44240,133,Portage,0.14813741121901725
44241,133,Portage,0.378791233119327
44242,133,Portage,0.0
44243,133,Portage,1.0
44250,153,Summit,1.0
44251,103,Medina,1.0
44253,103,Medina,0.8215277777777777
44254,103,Medina,0.6594663278271918
44255,133,Portage,0.6443123938879457
44256,103,Medina,0.09439692791063013
44258,103,Medina,1.0
44260,133,Portage,0.2974222222222222
44262,153,Summit,0.9932614555256065
44264,153,Summit,0.5239637305699482
44265,133,Portage,1.0
44266,133,Portage,0.16092307692307692
44270,169,Wayne,0.3980245595301655
44272,133,Portage,0.6550712489522212
44273,103,Medina,0.6720512039012496
44274,103,Medina,1.0
44275,103,Medina,0.6745562130177515
44276,169,Wayne,0.7634271099744245
44278,153,Summit,0.42110039705048213
44280,103,Medina,0.9494569757727652
44281,103,Medina,0.22715209254848587
44282,103,Medina,1.0
44285,133,Portage,1.0
44286,153,Summit,0.6163227016885553
44287,169,Wayne,0.482736974262398
44288,133,Portage,0.708007224563516
44301,153,Summit,0.33421284080914687
44302,153,Summit,0.4077201447527141
44303,153,Summit,0.45941957697983277
44304,153,Summit,0.6728682170542636
44305,153,Summit,0.2867682284181278
44306,153,Summit,0.2350212967345007
44307,153,Summit,0.30653008962868117
44308,153,Summit,0.7714701601164483
44309,153,Summit,1.0
44310,153,Summit,0.24399196015031024
44311,153,Summit,0.2519487750556793
44312,153,Summit,0.19963481436396835
44313,153,Summit,0.2522327859406511
44314,153,Summit,0.2803187803187803
44315,153,Summit,0.0
44316,153,Summit,0.0
44317,153,Summit,0.0
44319,153,Summit,0.24590305330343282
44320,153,Summit,0.2784325279905716
44321,153,Summit,0.4559760697099753
44325,153,Summit,1.0
44326,153,Summit,0.0
44328,153,Summit,0.0
44333,153,Summit,0.3588425206265694
44334,153,Summit,1.0
44396,153,Summit,0.0
44401,099,Mahoning,0.897047086991221
44402,155,Trumbull,0.809489575844716
44403,155,Trumbull,0.8019250253292807
44404,155,Trumbull,0.9490740740740741
44405,099,Mahoning,0.49767801857585137
44406,099,Mahoning,0.3234360410830999
44408,029,Columbiana,0.5159074475777295
44410,155,Trumbull,0.40288473291773624
44411,133,Portage,0.9884341637010676
44412,133,Portage,0.7610773240660296
44413,029,Columbiana,0.6288875598086124
44415,029,Columbiana,0.0
44416,099,Mahoning,0.0
44417,155,Trumbull,0.8814504881450488
44418,155,Trumbull,0.5674418604651162
44420,155,Trumbull,0.37058823529411766
44422,099,Mahoning,0.0
44423,029,Columbiana,0.5195822454308094
44424,155,Trumbull,1.0
44425,155,Trumbull,0.32007493875198156
44427,029,Columbiana,0.46601941747572817
44428,155,Trumbull,0.8493243243243244
44429,099,Mahoning,0.9848293299620733
44430,155,Trumbull,0.6083824492468893
44431,029,Columbiana,0.5409302325581395
44432,029,Columbiana,0.4328832406671962
44436,099,Mahoning,0.5474736257634647
44437,155,Trumbull,0.7399678972712681
44438,155,Trumbull,0.7873042044517725
44439,155,Trumbull,0.0
44440,155,Trumbull,0.43191196698762035
44441,029,Columbiana,0.6305970149253731
44442,099,Mahoning,0.9944388270980788
44443,099,Mahoning,0.7646356033452808
44444,155,Trumbull,0.5058139534883721
44445,029,Columbiana,0.7676151761517616
44446,155,Trumbull,0.28749072011878246
44449,133,Portage,0.5277777777777778
44450,155,Trumbull,0.4915032679738562
44451,099,Mahoning,0.6147832267235253
44452,099,Mahoning,0.7278318810866222
44453,155,Trumbull,0.0
44454,099,Mahoning,0.908883826879271
44455,029,Columbiana,0.4630102040816326
44460,029,Columbiana,0.3006764637275484
44470,155,Trumbull,0.8470661672908864
44471,099,Mahoning,0.49166997223324077
44473,155,Trumbull,0.930045294413689
44481,155,Trumbull,0.3079550020088389
44483,155,Trumbull,0.15154463634152274
44484,155,Trumbull,0.2342417500926956
44485,155,Trumbull,0.31996012957886866
44490,099,Mahoning,0.5953757225433526
44491,155,Trumbull,0.6589928057553956
44492,029,Columbiana,0.0
44493,029,Columbiana,1.0
44501,099,Mahoning,1.0
44502,099,Mahoning,0.23562443845462713
44503,099,Mahoning,0.9983922829581994
44504,099,Mahoning,0.4290352504638219
44505,155,Trumbull,0.3187629368075003
44506,099,Mahoning,0.70064874884152
44507,099,Mahoning,0.46254927726675427
44509,099,Mahoning,0.2503264316358888
44510,099,Mahoning,1.0
44511,099,Mahoning,0.20782947325271572
44512,099,Mahoning,0.15923035682373265
44513,099,Mahoning,1.0
44514,099,Mahoning,0.27354534335138914
44515,099,Mahoning,0.1951045965561406
44555,099,Mahoning,0.0
44601,151,Stark,0.15068580137160276
44606,169,Wayne,0.4763915547024952
44607,019,Carroll,0.0
44608,151,Stark,0.7569913211186113
44609,099,Mahoning,0.4949614700652045
44610,075,Holmes,0.0
44611,075,Holmes,0.9507211538461539
44612,157,Tuscarawas,0.6007685738684885
44613,151,Stark,1.0
44614,151,Stark,0.5386524822695036
44615,019,Carroll,0.4589041095890411
44617,075,Holmes,0.0
44618,169,Wayne,0.5363086232980333
44619,099,Mahoning,0.8490566037735849
44620,019,Carroll,1.0
44621,157,Tuscarawas,0.8106267029972752
44622,157,Tuscarawas,0.3638464077456266
44624,075,Holmes,0.4942648592283629
44625,029,Columbiana,0.7316239316239316
44626,151,Stark,0.8677510608203678
44627,169,Wayne,0.4216804979253112
44628,075,Holmes,0.5055762081784386
44629,157,Tuscarawas,0.6229508196721312
44630,151,Stark,1.0
