region_id,region,anchor_county,county_name,SCH_NAME,LEA_NAME,school_level,school_type,zip5
1.0,Group 1 - Columbus Core,Franklin,Franklin,Arts & College Preparatory Academy,Arts & College Preparatory Academy,High,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Arts Impact Middle School (Aims),Columbus City Schools District,Middle,Regular School,43215
1.0,Group 1 - Columbus Core,Franklin,Franklin,Asbury Elementary School,Groveport Madison Local,Elementary,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Avalon Elementary School,Columbus City Schools District,Elementary,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Avery Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Avondale Elementary School,Columbus City Schools District,Elementary,Regular School,43222
1.0,Group 1 - Columbus Core,Franklin,Franklin,BCS Online School,Bexley City,High,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Baldwin Road Junior High School,Reynoldsburg City,Middle,Regular School,43068
1.0,Group 1 - Columbus Core,Franklin,Franklin,Barrington Road Elementary School,Upper Arlington City,Elementary,Regular School,43221
1.0,Group 1 - Columbus Core,Franklin,Franklin,Beacon Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Beechcroft High School,Columbus City Schools District,High,Regular School,43229
1.0,Group 1 - Columbus Core,Franklin,Franklin,Beechwood Elementary School,Whitehall City,Elementary,Regular School,43213
1.0,Group 1 - Columbus Core,Franklin,Franklin,Berwick Alternative K-8 School,Columbus City Schools District,Elementary,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Beulah Park Middle School,South-Western City,Middle,Regular School,43123
1.0,Group 1 - Columbus Core,Franklin,Franklin,Bexley High School,Bexley City,High,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Bexley Middle School,Bexley City,Middle,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Binns Elementary School,Columbus City Schools District,Elementary,Regular School,43204
1.0,Group 1 - Columbus Core,Franklin,Franklin,Blacklick Elementary School,Gahanna-Jefferson City,Elementary,Regular School,43004
1.0,Group 1 - Columbus Core,Franklin,Franklin,Blendon Middle School,Westerville City,Middle,Regular School,43081
1.0,Group 1 - Columbus Core,Franklin,Franklin,Bluffsview Elementary School,Worthington City,Elementary,Regular School,43235
1.0,Group 1 - Columbus Core,Franklin,Franklin,Bolton Crossing Elementary,South-Western City,Elementary,Regular School,43123
1.0,Group 1 - Columbus Core,Franklin,Franklin,Bridge Gate Community School,Bridge Gate Community School,Other,Regular School,43228
1.0,Group 1 - Columbus Core,Franklin,Franklin,Briggs High School,Columbus City Schools District,High,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Britton Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Broadleigh Elementary School,Columbus City Schools District,Elementary,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Brookside Elementary School,Worthington City,Elementary,Regular School,43235
1.0,Group 1 - Columbus Core,Franklin,Franklin,Brown Elementary School,Hilliard City,Elementary,Regular School,43026
1.0,Group 1 - Columbus Core,Franklin,Franklin,Buckeye Middle School,Columbus City Schools District,Middle,Regular School,43207
1.0,Group 1 - Columbus Core,Franklin,Franklin,Buckeye Woods Elementary School,South-Western City,Elementary,Regular School,43123
1.0,Group 1 - Columbus Core,Franklin,Franklin,Burbank Early Childhood School,Upper Arlington City,Prekindergarten,Regular School,43220
1.0,Group 1 - Columbus Core,Franklin,Franklin,Burroughs Elementary School,Columbus City Schools District,Elementary,Regular School,43204
1.0,Group 1 - Columbus Core,Franklin,Franklin,Canal Winchester High School,Canal Winchester Local,High,Regular School,43110
1.0,Group 1 - Columbus Core,Franklin,Franklin,Canal Winchester Middle School,Canal Winchester Local,Middle,Regular School,43110
1.0,Group 1 - Columbus Core,Franklin,Franklin,Capital City Career Prep High School,Capital City Career Prep High School,High,Regular School,43232
1.0,Group 1 - Columbus Core,Franklin,Franklin,Capital Collegiate Preparatory Academy,Capital Collegiate Preparatory Academy,Elementary,Regular School,43205
1.0,Group 1 - Columbus Core,Franklin,Franklin,Capital High School,Capital High School,High,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cassady Alternative Elementary School,Columbus City Schools District,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cassingham Elementary School,Bexley City,Elementary,Regular School,43209
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cedarwood Alternative Elementary School,Columbus City Schools District,Elementary,Regular School,43207
1.0,Group 1 - Columbus Core,Franklin,Franklin,Centennial High School,Columbus City Schools District,High,Regular School,43220
1.0,Group 1 - Columbus Core,Franklin,Franklin,Central Crossing High School,South-Western City,High,Regular School,43123
1.0,Group 1 - Columbus Core,Franklin,Franklin,Central High School,Central High School,High,Regular School,43222
1.0,Group 1 - Columbus Core,Franklin,Franklin,Central Point Preparatory Academy,Central Point Preparatory Academy,Elementary,Regular School,43223
1.0,Group 1 - Columbus Core,Franklin,Franklin,Cesar Chavez College Preparatory School,Cesar Chavez College Preparatory School,Elementary,Regular School,43219
1.0,Group 1 - Columbus Core,Franklin,Franklin,Champion Middle School,Columbus City Schools District,Middle,Regular School,43203
